time,value
0.0,0.90367293
5e-05,0.90547627
0.0001,0.90189427
0.00015,0.88987601
0.0002,0.88868403
0.00025,0.89133966
0.0003,0.88496614
0.00035,0.89053065
0.0004,0.90056646
0.00045,0.8955825
0.0005,0.89070356
0.00055,0.8858555
0.0006,0.88978952
0.00065,0.88330483
0.0007,0.87832087
0.00075,0.88743651
0.0008,0.89460671
0.00085,0.89495873
0.0009,0.8986581
0.00095,0.89753407
0.001,0.88798618
0.00105,0.87556642
0.0011,0.88382977
0.00115,0.89222902
0.0012,0.89184612
0.00125,0.89374828
0.0013,0.89667565
0.00135,0.89420527
0.0014,0.89216107
0.00145,0.89513785
0.0015,0.894687
0.00155,0.88400275
0.0016,0.88906693
0.00165,0.90482163
0.0017,0.90333325
0.00175,0.88762796
0.0018,0.89053679
0.00185,0.89687943
0.0019,0.88247108
0.00195,0.88276136
0.002,0.89639157
0.00205,0.88683742
0.0021,0.88365686
0.00215,0.90194368
0.0022,0.90405583
0.00225,0.884188
0.0023,0.88488585
0.00235,0.89169168
0.0024,0.88315046
0.00245,0.87747478
0.0025,0.88487351
0.00255,0.88771445
0.0026,0.88857907
0.00265,0.88742417
0.0027,0.88945603
0.00275,0.88351482
0.0028,0.88335425
0.00285,0.8850835
0.0029,0.87992662
0.00295,0.8795808
0.003,0.88769591
0.00305,0.88907313
0.0031,0.88634336
0.00315,0.89217961
0.0032,0.89309978
0.00325,0.89022803
0.0033,0.90125197
0.00335,0.90472901
0.0034,0.8886717
0.00345,0.88721418
0.0035,0.88827646
0.00355,0.88691771
0.0036,0.8911112
0.00365,0.8895734
0.0037,0.88074803
0.00375,0.88216847
0.0038,0.89812082
0.00385,0.90516746
0.0039,0.89363712
0.00395,0.89372975
0.004,0.89676213
0.00405,0.88140887
0.0041,0.87374455
0.00415,0.88224876
0.0042,0.88735002
0.00425,0.88261312
0.0043,0.88462651
0.00435,0.8940509
0.0044,0.89818871
0.00445,0.89861488
0.0045,0.90296268
0.00455,0.88134706
0.0046,0.86380756
0.00465,0.87750566
0.0047,0.89880013
0.00475,0.89351976
0.0048,0.89323568
0.00485,0.90657562
0.0049,0.90299356
0.00495,0.88676333
0.005,0.89077765
0.00505,0.89644712
0.0051,0.88618898
0.00515,0.87233031
0.0052,0.89517492
0.00525,0.90556276
0.0053,0.88893723
0.00535,0.87890142
0.0054,0.89293921
0.00545,0.89061707
0.0055,0.88485497
0.00555,0.89985621
0.0056,0.90024531
0.00565,0.8790682
0.0057,0.88914722
0.00575,0.89882487
0.0058,0.88552815
0.00585,0.87181771
0.0059,0.87799978
0.00595,0.88384217
0.006,0.87516505
0.00605,0.87181771
0.0061,0.87743777
0.00615,0.87404716
0.0062,0.86387551
0.00625,0.86129397
0.0063,0.87179297
0.00635,0.86736488
0.0064,0.85214746
0.00645,0.88279223
0.0065,0.90010941
0.00655,0.88369393
0.0066,0.88091475
0.00665,0.89019716
0.0067,0.8762458
0.00675,0.88033426
0.0068,0.92546761
0.00685,0.93839997
0.0069,0.93473148
0.00695,0.93998718
0.007,0.94387794
0.00705,0.93967837
0.0071,0.94529223
