time,value
0.0,0.94420528
5e-05,0.89810228
0.0001,0.89309978
0.00015,0.90610003
0.0002,0.90128285
0.00025,0.90295035
0.0003,0.92626435
0.00035,0.93163735
0.0004,0.92787004
0.00045,0.92719072
0.0005,0.91724753
0.00055,0.87793797
0.0006,0.86055285
0.00065,0.85928679
0.0007,0.86194247
0.00075,0.86240566
0.0008,0.8899501
0.00085,0.89949185
0.0009,0.89313066
0.00095,0.89028978
0.001,0.87485003
0.00105,0.85740316
0.0011,0.8622821
0.00115,0.87543678
0.0012,0.87216353
0.00125,0.87661016
0.0013,0.91598147
0.00135,0.91891503
0.0014,0.91539478
0.00145,0.93457091
0.0015,0.9115966
0.00155,0.87531322
0.0016,0.88865316
0.00165,0.89748466
0.0017,0.88312572
0.00175,0.88896197
0.0018,0.9185136
0.00185,0.89785522
0.0019,0.87515885
0.00195,0.89272922
0.002,0.8802231
0.00205,0.83930779
0.0021,0.83754766
0.00215,0.83331722
0.0022,0.82797503
0.00225,0.88494766
0.0023,0.9054516
0.00235,0.83906078
0.0024,0.83461416
0.00245,0.93117416
0.0025,0.87685722
0.00255,0.7795561
0.0026,0.91397429
0.00265,0.96588266
0.0027,0.89884341
0.00275,0.89050591
0.0028,0.94269222
0.00285,0.91304791
0.0029,0.8535741
0.00295,0.94037622
0.003,1.0033703
0.00305,0.90974385
0.0031,0.87478828
0.00315,0.96452397
0.0032,0.98388535
0.00325,0.88037747
0.0033,0.86493772
0.00335,0.95022678
0.0034,0.90458697
0.00345,0.83158797
0.0035,0.88411391
0.00355,0.94158053
0.0036,0.83788735
0.00365,0.81148541
0.0037,0.88914722
0.00375,0.87704247
0.0038,0.82377547
0.00385,0.87639403
0.0039,0.90461785
0.00395,0.86428928
0.004,0.82581347
0.00405,0.83069247
0.0041,0.84993035
0.00415,0.84106791
0.0042,0.86008966
0.00425,0.88772678
0.0043,0.90440166
0.00435,0.90298122
0.0044,0.90010941
0.00445,0.89887428
0.0045,0.89668185
0.00455,0.88013041
0.0046,0.86913735
0.00465,0.87197828
0.0047,0.90261066
0.00475,0.93200791
0.0048,0.93639278
0.00485,0.93679422
0.0049,0.94429791
0.00495,0.90684116
0.005,0.86855066
0.00505,0.87942022
0.0051,0.91320235
0.00515,0.90443254
0.0052,0.85564303
0.00525,0.88269341
0.0053,0.91280091
0.00535,0.86521566
0.0054,0.86172628
0.00545,0.91246122
0.0055,0.89374828
0.00555,0.87065047
0.0056,0.87753654
0.00565,0.89544666
0.0057,0.90381497
0.00575,0.90143728
0.0058,0.90690291
0.00585,0.8718856
0.0059,0.87426335
0.00595,0.9185136
0.006,0.89118528
0.00605,0.89069122
0.0061,0.93793678
0.00615,0.91968703
0.0062,0.86364079
0.00625,0.90406203
0.0063,0.93037128
0.00635,0.87982166
0.0064,0.86981672
0.00645,0.90387672
0.0065,0.8926366
0.00655,0.87068135
0.0066,0.86814922
0.00665,0.87664104
0.0067,0.86515391
0.00675,0.85798985
0.0068,0.86845803
0.00685,0.87577641
0.0069,0.88294047
0.00695,0.88395947
0.007,0.8699711
0.00705,0.86879766
0.0071,0.86104691
0.00715,0.86493772
0.0072,0.87015635
0.00725,0.87438685
0.0073,0.8770116
0.00735,0.87552941
0.0074,0.89387178
0.00745,0.90705729
0.0075,0.89927572
0.00755,0.89939922
0.0076,0.90193135
0.00765,0.91020703
0.0077,0.91434485
0.00775,0.90628535
0.0078,0.90501928
0.00785,0.91835916
0.0079,0.91511685
0.00795,0.90341353
0.008,0.9089101
