time,value
0.0,0.87951905
5e-05,0.89325726
0.0001,0.89783055
0.00015,0.89115441
0.0002,0.88983274
0.00025,0.89531386
0.0003,0.90261376
0.00035,0.8983956
0.0004,0.89126247
0.00045,0.88914412
0.0005,0.88961661
0.00055,0.88641751
0.0006,0.88258225
0.00065,0.88227963
0.0007,0.89115441
0.00075,0.89108026
0.0008,0.89383781
0.00085,0.9141565
0.0009,0.90858275
0.00095,0.88075727
0.001,0.88536143
0.00105,0.89337152
0.0011,0.88128841
0.00115,0.87262058
0.0012,0.88817763
0.00125,0.90012795
0.0013,0.89037621
0.00135,0.88868713
0.0014,0.89591295
0.00145,0.88499701
0.0015,0.87630755
0.00155,0.88592958
0.0016,0.89400458
0.00165,0.88603765
0.0017,0.8876434
0.00175,0.90110993
0.0018,0.89869517
0.00185,0.88947457
0.0019,0.89038241
0.00195,0.8881591
0.002,0.89093822
0.00205,0.8971234
0.0021,0.89337462
0.00215,0.88471603
0.0022,0.89052135
0.00225,0.89216727
0.0023,0.88186276
0.00235,0.88556212
0.0024,0.89562267
0.00245,0.88732225
0.0025,0.87319183
0.00255,0.88253593
0.0026,0.89371741
0.00265,0.87946963
0.0027,0.88926148
0.00275,0.91418737
0.0028,0.90577888
0.00285,0.88054115
0.0029,0.8954559
0.00295,0.90491122
0.003,0.86952645
0.00305,0.85848397
0.0031,0.88938808
0.00315,0.89808685
0.0032,0.8964904
0.00325,0.91237164
0.0033,0.91918367
0.00335,0.89259648
0.0034,0.88486737
0.00345,0.89600557
0.0035,0.89338082
0.00355,0.87619025
0.0036,0.87745011
0.00365,0.90459621
0.0037,0.90656322
0.00375,0.88947767
0.0038,0.89118838
0.00385,0.8934117
0.0039,0.88453692
0.00395,0.88395333
0.004,0.89821035
0.00405,0.8977595
0.0041,0.88515455
0.00415,0.88694245
0.0042,0.89146012
0.00425,0.88744271
0.0043,0.88330793
0.00435,0.89173186
0.0044,0.90098947
0.00445,0.89419913
0.0045,0.88897741
0.00455,0.89485991
0.0046,0.90166575
0.00465,0.8836816
0.0047,0.87925655
0.00475,0.89339936
0.0048,0.90126431
0.00485,0.89758658
0.0049,0.89913362
0.00495,0.9053157
0.005,0.89410955
0.00505,0.88156635
0.0051,0.88711226
0.00515,0.89538491
0.0052,0.89347655
0.00525,0.8846975
0.0053,0.89880323
0.00535,0.90553802
0.0054,0.88983583
0.00545,0.8831628
0.0055,0.88498777
0.00555,0.882783
0.0056,0.88681275
0.00565,0.89875072
0.0057,0.90092468
0.00575,0.8898266
0.0058,0.90010941
0.00585,0.90708512
0.0059,0.89415896
0.00595,0.88451838
0.006,0.88707525
0.00605,0.88874269
0.0061,0.88788426
0.00615,0.89194489
0.0062,0.8903299
0.00625,0.88228273
0.0063,0.89490622
0.00635,0.89937758
0.0064,0.89189553
0.00645,0.88989455
0.0065,0.89365566
0.00655,0.8868776
0.0066,0.885346
0.00665,0.89236486
0.0067,0.89421457
0.00675,0.88388538
0.0068,0.88902062
0.00685,0.89333755
0.0069,0.89018476
0.00695,0.88527495
0.007,0.88928312
0.00705,0.89239883
0.0071,0.8877793
0.00715,0.87643105
0.0072,0.88079435
0.00725,0.89222282
0.0073,0.89923245
0.00735,0.89422071
0.0074,0.89049667
0.00745,0.89446777
0.0075,0.89890516
0.00755,0.8907221
0.0076,0.88095492
0.00765,0.87646812
0.0077,0.88133162
0.00775,0.8900736
0.0078,0.90076715
0.00785,0.89715427
0.0079,0.88671702
0.00795,0.88489825
0.008,0.88891256
0.00805,0.8779071
0.0081,0.8722778
0.00815,0.88620132
0.0082,0.89180595
0.00825,0.88453692
0.0083,0.90364206
0.00835,0.91461658
0.0084,0.89096296
0.00845,0.87587523
0.0085,0.88692081
0.00855,0.8912347
0.0086,0.87596172
0.00865,0.87915158
0.0087,0.90277123
0.00875,0.89419293
0.0088,0.88224566
0.00885,0.8916207
0.0089,0.89132422
0.00895,0.87293553
0.009,0.88025707
0.00905,0.89873838
0.0091,0.88608402
0.00915,0.87682635
0.0092,0.90484017
0.00925,0.90718085
0.0093,0.88973397
0.00935,0.89309978
0.0094,0.91250443
0.00945,0.89631438
0.0095,0.88253284
0.00955,0.89557326
0.0096,0.89539415
0.00965,0.88323385
0.0097,0.89632052
0.00975,0.90102965
0.0098,0.8881653
0.00985,0.88145518
0.0099,0.89683002
0.00995,0.90769345
0.01,0.89849752
0.01005,0.8923772
0.0101,0.89171952
0.01015,0.89104939
0.0102,0.89987165
