time,value
0.0,0.85353088
5e-05,0.87139773
0.0001,0.87078011
0.00015,0.84673125
0.0002,0.87809241
0.00025,0.90553802
0.0003,0.88208818
0.00035,0.86962527
0.0004,0.8894375
0.00045,0.8992942
0.0005,0.8943041
0.00055,0.90691525
0.0006,0.91175097
0.00065,0.89628655
0.0007,0.88037127
0.00075,0.8863619
0.0008,0.89603335
0.00085,0.88729447
0.0009,0.88646692
0.00095,0.92355931
0.001,0.93365687
0.00105,0.92672133
0.0011,0.92335546
0.00115,0.9147957
0.0012,0.89758348
0.00125,0.87182385
0.0013,0.8702243
0.00135,0.87511563
0.0014,0.87097776
0.00145,0.88408303
0.0015,0.89894837
0.00155,0.89543426
0.0016,0.87858027
0.00165,0.87033546
0.0017,0.88077891
0.00175,0.87654227
0.0018,0.87284905
0.00185,0.88116801
0.0019,0.88453382
0.00195,0.88720798
0.002,0.88390392
0.00205,0.87665957
0.0021,0.86652493
0.00215,0.87467712
0.0022,0.89226604
0.00225,0.89295775
0.0023,0.89947951
0.00235,0.9109543
0.0024,0.90650147
0.00245,0.90206105
0.0025,0.89566898
0.00255,0.89058006
0.0026,0.87220675
0.00265,0.87623346
0.0027,0.89634216
0.00275,0.89347035
0.0028,0.89579868
0.00285,0.905958
0.0029,0.90397555
0.00295,0.90857041
0.003,0.90349382
0.00305,0.89164847
0.0031,0.88105065
0.00315,0.89527988
0.0032,0.90106672
0.00325,0.87999457
0.0033,0.88411391
0.00335,0.90740317
0.0034,0.90257978
0.00345,0.90100497
0.0035,0.91252917
0.00355,0.90818751
0.0036,0.88115561
0.00365,0.89410645
0.0037,0.903395
0.00375,0.87299728
0.0038,0.87209558
0.00385,0.89490318
0.0039,0.88686216
0.00395,0.88147676
0.004,0.89230931
0.00405,0.89744765
0.0041,0.87661636
0.00415,0.87633228
0.0042,0.89222902
0.00425,0.89338392
0.0043,0.88894343
0.00435,0.89113587
0.0044,0.89610744
0.00445,0.88851732
0.0045,0.88350862
0.00455,0.90168428
0.0046,0.91063315
0.00465,0.88754147
0.0047,0.88680655
